user_id,username,password,role,team
0,Admin_0,121090506,admin,all
1,Admin_1,121090506,admin,all
2,Admin_2,121090506,admin,all
101,ATL,101,scout,ATL
102,BOS,102,scout,BOS
103,BRK,103,scout,BRK
104,CHI,104,scout,CHI
105,CHO,105,scout,CHO
106,CLE,106,scout,CLE
107,DAL,107,scout,DAL
108,DEN,108,scout,DEN
109,DET,109,scout,DET
110,GSW,110,scout,GSW
111,HOU,111,scout,HOU
112,IND,112,scout,IND
113,LAC,113,scout,LAC
114,LAL,114,scout,LAL
115,MEM,115,scout,MEM
116,MIA,116,scout,MIA
117,MIL,117,scout,MIL
118,MIN,118,scout,MIN
119,NOP,119,scout,NOP
120,NYK,120,scout,NYK
121,OKC,121,scout,OKC
122,ORL,122,scout,ORL
123,PHI,123,scout,PHI
124,PHO,124,scout,PHO
125,POR,125,scout,POR
126,SAC,126,scout,SAC
127,SAS,127,scout,SAS
128,TOR,128,scout,TOR
129,UTA,129,scout,UTA
130,WAS,130,scout,WAS
3463,LeBron James,3463,player,LAL
3491,Udonis Haslem,3491,player,MIA
3500,Andre Iguodala,3500,player,GSW
3585,Chris Paul,3585,player,PHO
3685,Kyle Lowry,3685,player,MIA
3698,P.J. Tucker,3698,player,PHI
3713,Rudy Gay,3713,player,UTA
3734,Al Horford,3734,player,BOS
3761,Jeff Green,3761,player,DEN
3770,Kevin Durant,3770,player,BRK
3770,Kevin Durant,3770,player,PHO
3779,Mike Conley,3779,player,UTA
3779,Mike Conley,3779,player,MIN
3791,Thaddeus Young,3791,player,TOR
3801,Brook Lopez,3801,player,MIL
3810,DeAndre Jordan,3810,player,DEN
3812,Derrick Rose,3812,player,NYK
3815,Eric Gordon,3815,player,HOU
3815,Eric Gordon,3815,player,LAC
3816,George Hill,3816,player,MIL
3816,George Hill,3816,player,IND
3817,Goran Dragi?,3817,player,CHI
3817,Goran Dragi?,3817,player,MIL
3824,JaVale McGee,3824,player,DAL
3830,Kevin Love,3830,player,CLE
3830,Kevin Love,3830,player,MIA
3841,Nicolas Batum,3841,player,LAC
3845,Robin Lopez,3845,player,CLE
3849,Russell Westbrook,3849,player,LAL
3849,Russell Westbrook,3849,player,LAC
3867,Danny Green,3867,player,MEM
3867,Danny Green,3867,player,CLE
3872,DeMar DeRozan,3872,player,CHI
3877,Garrett Temple,3877,player,NOP
3880,James Harden,3880,player,PHI
3881,James Johnson,3881,player,IND
3891,Jrue Holiday,3891,player,MIL
3898,Patty Mills,3898,player,BRK
3902,Serge Ibaka,3902,player,MIL
3903,Stephen Curry,3903,player,GSW
3905,Taj Gibson,3905,player,WAS
3914,Wesley Matthews,3914,player,MIL
3920,Blake Griffin,3920,player,BOS
3941,Gordon Hayward,3941,player,CHO
3946,Ish Smith,3946,player,DEN
3951,John Wall,3951,player,LAC
3969,Paul George,3969,player,LAC
3982,Alec Burks,3982,player,DET
3984,Bismack Biyombo,3984,player,PHO
3992,Cory Joseph,3992,player,DET
4023,Jimmy Butler,4023,player,MIA
4032,Kawhi Leo0rd,4032,player,LAC
4034,Kemba Walker,4034,player,DAL
4036,Klay Thompson,4036,player,GSW
4037,Kyrie Irving,4037,player,BRK
4037,Kyrie Irving,4037,player,DAL
4042,Marcus Morris,4042,player,LAC
4043,Markieff Morris,4043,player,BRK
4043,Markieff Morris,4043,player,DAL
4047,Nikola Vu?evi?,4047,player,CHI
4050,Reggie Jackson,4050,player,LAC
4050,Reggie Jackson,4050,player,DEN
4051,Ricky Rubio,4051,player,CLE
